employee_index_id,full_name,first_name,last_name,date_of_birth,age,gender,marital_status,nationality,race,work_pass_type,mobile_number,personal_email,work_email,industry,job_title,employment_type,employment_status,employment_start_date,leave_taken,department
1,Cindy Hopkins,Cindy,Hopkins,1991-05-09,34,Female,Single,Chinese (PRC),Indian,Work Permit (WP),96038729,gwilliams@yahoo.com,cindy.hopkins@company.com,IT,DevOps Engineer,Contract,Resigned,2018-03-14,5,Product
2,Lauren Holder,Lauren,Holder,1979-07-28,46,Male,Married,Singaporean,Malay,Citizen / PR,98154044,sdyer@hotmail.com,lauren.holder@company.com,Wholesale,Purchasing Executive,Part-Time,Probation,2019-05-25,1,Engineering
3,John Turner,John,Turner,1993-04-05,32,Male,Divorced,Singaporean,Malay,Citizen / PR,96223392,dlambert@mcmillan-huang.info,john.turner@company.com,IT,DevOps Engineer,Full-Time,Active,2022-02-28,19,Finance
4,Carmen Fuller,Carmen,Fuller,1979-06-04,46,Male,Single,Myanmar,Chinese,S Pass,99163946,uhumphrey@gmail.com,carmen.fuller@company.com,IT,IT Manager,Contract,Resigned,2024-08-26,4,Legal
5,Glenn Rodriguez,Glenn,Rodriguez,2004-11-17,21,Female,Married,Singaporean,Others,Citizen / PR,98821334,pavila@hardy.com,glenn.rodriguez@company.com,IT,Software Engineer,Contract,Resigned,2024-12-30,16,Human Resources
6,Vanessa Hanson,Vanessa,Hanson,1999-02-09,26,Female,Divorced,Singaporean,Eurasian,Citizen / PR,91640132,dfoster@hotmail.com,vanessa.hanson@company.com,IT,Cloud Architect,Part-Time,Probation,2018-01-19,16,Product
7,Joan Potter,Joan,Potter,1969-09-03,56,Male,Married,Singaporean,Malay,Citizen / PR,92306256,wgomez@ross.org,joan.potter@company.com,Service,Service Coordinator,Contract,Resigned,2019-01-21,17,IT Support
8,Melissa Fisher,Melissa,Fisher,1990-08-03,35,Female,Divorced,Singaporean,Chinese,Citizen / PR,97757949,edwardbennett@yahoo.com,melissa.fisher@company.com,Wholesale,Wholesale Manager,Contract,Probation,2016-11-10,14,IT Support
9,Kelsey Collins,Kelsey,Collins,1993-12-15,32,Male,Single,Singaporean,Others,Citizen / PR,98448816,joelwhite@huber.com,kelsey.collins@company.com,Wholesale,Supplier Relations Officer,Part-Time,Probation,2018-12-20,2,Human Resources
10,Derrick Gonzalez,Derrick,Gonzalez,1977-02-08,48,Male,Single,Myanmar,Others,Employment Pass (EP),91295800,martinezandrew@williams.biz,derrick.gonzalez@company.com,IT,IT Manager,Full-Time,Resigned,2016-11-24,13,Legal
11,Laura Smith,Laura,Smith,2000-04-04,25,Male,Divorced,Singaporean,Chinese,Citizen / PR,94539812,lauraflynn@hotmail.com,laura.smith@company.com,IT,Full Stack Developer,Part-Time,Active,2017-12-03,11,Sales
12,Shannon Young,Shannon,Young,1967-01-25,58,Female,Married,Vietnamese,Eurasian,Employment Pass (EP),93575871,shelby50@hoover-hodges.com,shannon.young@company.com,Wholesale,Warehouse Manager,Full-Time,Probation,2016-05-19,12,Legal
13,Felicia White,Felicia,White,1988-12-17,37,Male,Divorced,Singaporean,Chinese,Citizen / PR,95659530,annabell@hughes.com,felicia.white@company.com,Wholesale,Supplier Relations Officer,Contract,Resigned,2016-08-01,13,Legal
14,Sarah Silva,Sarah,Silva,1997-07-25,28,Female,Single,Singaporean,Malay,Citizen / PR,91541562,hallwilliam@hotmail.com,sarah.silva@company.com,Wholesale,Sales Executive,Full-Time,Active,2017-02-05,3,IT Support
15,Ryan Smith,Ryan,Smith,1988-07-30,37,Female,Single,Singaporean,Others,Citizen / PR,95514959,angelajones@arnold.com,ryan.smith@company.com,Wholesale,Sales Executive,Part-Time,Probation,2024-09-11,8,Operations
16,Linda Martin,Linda,Martin,1970-10-05,55,Female,Divorced,Singaporean,Malay,Citizen / PR,99365677,sean93@hotmail.com,linda.martin@company.com,Wholesale,Sales Executive,Part-Time,Resigned,2017-03-19,3,IT Support
17,Lisa Hall,Lisa,Hall,1984-01-25,41,Male,Divorced,Singaporean,Malay,Citizen / PR,93061321,cescobar@hotmail.com,lisa.hall@company.com,Service,Operations Executive,Part-Time,Probation,2017-09-27,18,Legal
18,Christopher Lin,Christopher,Lin,1993-05-03,32,Female,Single,Singaporean,Others,Citizen / PR,98045479,jcox@hotmail.com,christopher.lin@company.com,Service,Customer Service Officer,Part-Time,Active,2024-11-01,0,Legal
19,Emily Campbell,Emily,Campbell,1981-09-22,44,Female,Single,Singaporean,Eurasian,Citizen / PR,90245801,tayloredward@garcia.info,emily.campbell@company.com,IT,Cloud Architect,Contract,Probation,2022-08-05,9,Legal
20,Michelle Rodriguez,Michelle,Rodriguez,1988-09-23,37,Female,Divorced,Singaporean,Malay,Citizen / PR,95479386,alexis23@hotmail.com,michelle.rodriguez@company.com,Wholesale,Warehouse Manager,Full-Time,Resigned,2016-04-12,7,Engineering
21,Sally Schroeder,Sally,Schroeder,1979-11-25,46,Male,Married,Malaysian,Others,Employment Pass (EP),97121452,wstevens@gmail.com,sally.schroeder@company.com,Service,Field Service Technician,Contract,Resigned,2023-10-16,0,Marketing
22,Linda Morris,Linda,Morris,1991-03-23,34,Female,Divorced,Singaporean,Others,Citizen / PR,95890238,briangibson@mack.biz,linda.morris@company.com,Service,Field Service Technician,Full-Time,Probation,2023-01-15,6,Product
23,Thomas Aguilar,Thomas,Aguilar,2001-05-01,24,Female,Divorced,Singaporean,Chinese,Citizen / PR,98197137,pmeyer@hotmail.com,thomas.aguilar@company.com,Service,Field Service Technician,Full-Time,Probation,2020-08-20,13,Engineering
24,Donna Keller,Donna,Keller,1964-12-05,61,Female,Single,Singaporean,Malay,Citizen / PR,97041430,molly39@hotmail.com,donna.keller@company.com,Service,Customer Service Officer,Contract,Probation,2019-06-15,7,Engineering
